"LANGUAGE","Čeština"
"TFC_NAM","Transfer Controller"
"TFC_DESC","Enables control of goods transfer and service vehicle coverage."
"TFC_TAB_VEH","Vozidla"
"TFC_RES_PLD","Prefer local district"
"TFC_RES_PLD_TIP","If this is selected, preference will be given to servicing locations within the same district and/or park area as this building"
"TFC_RES_ENA","Enable location restrictions"
"TFC_RES_ENA_TIP","If this is selected, service will be restricted to the districts and/or buildings listed below (and any permitted outside connections)."
"TFC_DIS_AVA","Dostupné oblasti"
"TFC_DIS_SEL","Povolené oblasti"
"TFC_DIS_ADD","Přidat tuto oblast do seznamu povolených oblastí"
"TFC_DIS_SUB","Odstranit tuto oblast ze seznamu povolených oblastí"
"TFC_BUI_SEL","Povolené budovy"
"TFC_BUI_ADD","Use the cursor to select a building to add to the list of permitted building"
"TFC_BUI_SUB","Remove this building from the list of permitted buildings"
"TFC_VEH_AVA","Dostupná vozidla"
"TFC_VEH_SEL","Povolená vozidla"
"TFC_VEH_ADD","Add this vehicle to the list of permitted vehicles"
"TFC_VEH_SUB","Remove this vehicle from the list of permitted vehicles"
"TFC_VEH_ANY","Všechny"
"TFC_GEN_BUY","Goods in"
"TFC_GEN_SEL","Goods out"
"TFC_GEN_SER","Service area"
"TFC_BLD_SDO","Always service same district"
"TFC_BLD_SDO_TIP","Enable to ensure that the building can always service the same district and/or area that it's in, even if the district or area later changes."
"TFC_BLD_IMP","Povolit import"
"TFC_BLD_IMP_TIP","Permit this building to import from outside connections. This is not affected by district or building restrictions."
"TFC_BLD_EXP","Povolit export"
"TFC_BLD_EXP_TIP","Permit this building to export to outside connections. This is not affected by district or building restrictions."
"TFC_BLD_NOD","No local district"
"TFC_FIR_SER","Firefighting"
"TFC_DIS_TRU","Rescue trucks"
"TFC_DIS_HEL","Rescue helicopters"
"TFC_POL_PMO","Prisoners to jail"
"TFC_POL_PMI","Prisoners in"
"TFC_POL_PHO","Prison helicopter"
"TFC_POL_PHI","Prisoner transport"
"TFC_POL_PTO","Prisoner transfer"
"TFC_MAI_IML","Mail collection"
"TFC_MAI_OUN","Unsorted mail out"
"TFC_MAI_IST","Sorted mail in"
"TFC_MAI_IUN","Unsorted mail in"
"TFC_MAI_OST","Sorted mail out"
"TFC_MAI_OGM","Outgoing mail"
"TFC_MAI_ICM","Incoming mail"
"TFC_GAR_ICO","Garbage collection"
"TFC_GAR_ITF","Garbage in"
"TFC_GAR_OTF","Garbage out"
"TFC_GAR_ORR","Recovered resources for sale"
"TFC_FIS_MKO","Fish delivery"
"TFC_FIS_MKI","Fish in"
"TFC_FIS_CFO","Goods out"
"TFC_PWR_INC","Purchasing fuel"
"TFC_OIL_INC","Oil supply"
"TFC_SHT_INC","Buying goods"
"TFC_WAR_RVU","Reserve vehicles for unique factories"
"TFC_WAR_RVU_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service unique factories"
"TFC_WAR_RVO","Reserve vehicles for outside connections"
