"LANGUAGE","Deutsch"
"TFC_NAM","Transfer Controller"
"TFC_DESC","Ermöglicht die Kontrolle der Güterumschlag- und Servicefahrzeugabdeckung."
"TFC_TAB_VEH","Fahrzeuge"
"TFC_RES_PLD","Lokalen Bezirk bevorzugen"
"TFC_RES_PLD_TIP","Wenn diese Option ausgewählt ist, wird die Lieferung and und zu Standorten im selben Bezirk und/oder Parkgebiet bevorzugt"
"TFC_RES_ENA","Standortbeschränkungen aktivieren"
"TFC_RES_ENA_TIP","Wenn diese Option ausgewählt ist, wird der Service auf die unten aufgeführten Distrikte und/oder Gebäude (und alle zugelassenen externen Verbindungen) beschränkt."
"TFC_DIS_AVA","Verfügbare Distrikte"
"TFC_DIS_SEL","Zugelassene Distrikte"
"TFC_DIS_ADD","Diesen Distrikt zur Liste der zugelassenen Distrikte hinzufügen"
"TFC_DIS_SUB","Diesen Distrikt von der Liste der zugelassenen Distrikte entfernen"
"TFC_BUI_SEL","Zugelassene Gebäude"
"TFC_BUI_ADD","Verwende den Cursor, um ein Gebäude auszuwählen und es zur Liste der zugelassenen Gebäude hinzuzufügen"
"TFC_BUI_SUB","Dieses Gebäude von der Liste der zugelassenen Gebäude entfernen"
"TFC_VEH_AVA","Verfügbare Fahrzeuge"
"TFC_VEH_SEL","Zugelassene Fahrzeuge"
"TFC_VEH_ADD","Dieses Fahrzeug zur Liste der zugelassenen Fahrzeuge hinzufügen"
"TFC_VEH_SUB","Dieses Fahrzeug von der Liste der zugelassenen Fahrzeuge entfernen"
"TFC_VEH_ANY","Alle"
"TFC_GEN_BUY","Warenanlieferungen"
"TFC_GEN_SEL","Warenversand"
"TFC_GEN_SER","Einsatzbereich"
"TFC_BLD_SDO","Immer im eigenen Bezirk bedienen"
"TFC_BLD_SDO_TIP","Aktivieren um sicherzustellen, dass das Gebäude immer den gleichen Bezirk und/oder den gleichen Bereich bedienen kann in dem es sich befindet, selbst wenn der Distrikt oder Bereich später verändert wird."
"TFC_BLD_IMP","Importe erlauben"
"TFC_BLD_IMP_TIP","Erlaube diesem Gebäude, von externen Verbindungen zu importieren. Dies ist nicht von Distrikt- oder Gebäudebeschränkungen betroffen."
"TFC_BLD_EXP","Exporte erlauben"
"TFC_BLD_EXP_TIP","Erlaube diesem Gebäude, zu externen Verbindungen zu exportieren. Dies ist nicht von Distrikt- oder Gebäudebeschränkungen betroffen."
"TFC_BLD_NOD","Kein lokaler Distrikt"
"TFC_FIR_SER","Brandbekämpfung"
"TFC_DIS_TRU","Rettungsfahrzeuge"
"TFC_DIS_HEL","Rettungshubschrauber"
"TFC_POL_PMO","Häftlinge zum Gefängnis"
"TFC_POL_PMI","Häftlinge annehmen"
"TFC_POL_PHO","Gefängnishubschrauber"
"TFC_POL_PHI","Gefangenentransport"
"TFC_POL_PTO","Gefangenentransfer"
"TFC_MAI_IML","Posteinsammlung"
"TFC_MAI_OUN","Unsortierte, ausgehende Post"
"TFC_MAI_IST","Sortierte, eingehende Post"
"TFC_MAI_IUN","Unsortierte, eingehende Post"
"TFC_MAI_OST","Sortierte, ausgehende Post"
"TFC_MAI_OGM","Ausgehende Postsendungen"
"TFC_MAI_ICM","Eingehende Postsendungen"
"TFC_GAR_ICO","Abfallsammlung"
"TFC_GAR_ITF","Müllanlieferung"
"TFC_GAR_OTF","Müllablieferung"
"TFC_GAR_ORR","Recycelte Ressourcen zum Verkauf"
"TFC_FIS_MKO","Fischlieferungen"
"TFC_FIS_MKI","Fischerei Wareneingang"
"TFC_FIS_CFO","Warenversand"
"TFC_PWR_INC","Kraftstoff kaufen"
"TFC_OIL_INC","Ölversorgung"
"TFC_SHT_INC","Einkauf von Waren"
"TFC_WAR_RVU","Fahrzeuge für einzigartige Fabriken reservieren"
"TFC_WAR_RVU_TIP","Diese Auswahl wird einen Teil der Lieferfahrzeuge dieses Gebäudes reservieren, um nur einzigartige Fabriken zu bedienen"
"TFC_WAR_RVO","Fahrzeuge für externe Verbindungen reservieren"
"TFC_WAR_RVO_TIP","Diese Auswahl wird einen Teil der Lieferfahrzeuge dieses Gebäudes reservieren, um nur Verbindungen nach Außerhalb zu bedienen (Import und Export)"
"TFC_WAR_RVI","Fahrzeuge für Lieferungen innerhalb der Stadt reservieren"
"TFC_WAR_RVI_TIP","Diese Auswahl wird einen Teil der Lieferfahrzeuge dieses Gebäudes reservieren, um nur Verbindungen innerhalb der Stadt zu bedienen (Diese stehen dann nicht für Import oder Export zur Verfügung)"
"TFC_WAR_RVC","Reservierte Fahrzeuge"
"TFC_WAR_RVC_TIP","Anzahl der reservierten Fahrzeuge festlegen"
"TFC_OPT_NEW","Neuen Distanz-basierten Algorithmus verwenden"
"TFC_OPT_NEW_TIP","Wenn diese Option ausgewählt ist, wird die Mod einen benutzerdefinierten Algorithmus verwenden, um die Warentransporte basierend auf der kürzesten Distanz besser abzustimmen."
"TFC_OPT_DIS","Distanzmultiplikator"
"TFC_OPT_DIS_TIP","Verwende dies, um die Aggressivität des jeweils passenden Algorithmus anzupassen, wenn versucht wird, eine physikalisch nahe Übereinstimmung zu finden. 100% (Standard) ist das gleiche wie das ungemoddete Spiel; niedrigere Werte werden bedeuten, dass das Spiel mehr Zeit und Mühe damit verbringt, den Weg mit der kürzesten Distanz, zu finden. Dies geht zulasten der Systemperformance."
"TFC_OPT_WAR","Lagerpriorität erhöhen"
"TFC_OPT_WAR_TIP","Verwende dies, um den Algorithmus dahingehend anzupassen, dass dem Transfer von und zu Lagern höhere Priorität eingeräumt wird (über andere verfügbare Optionen für dieselbe Art von Ladung). 0 (keine Lagerpriorität) ist die Standardeinstellung für das gleiche Verhalten wie das ungemoddete Spiel; 4 gibt eine sehr hohe Priorität für den Transfer von  und zu Lagerhäusern."
"TFC_OPT_ORP","Prioritätssteigerung für Bahnverbindungen nach außerhalb"
