"CODE","fr"
"NAME","Français"
"TFC_NAM","Contrôleur des Transferts"
"TFC_DESC","Permet contrôle du transfert des marchandises et la couverture des véhicules de service."
"TFC_GEN_BUY","Restrictions des dépenses"
"TFC_GEN_SEL","Restriction de vente"
"TFC_GEN_SER","Restrictions des services"
"TFC_BLD_ENA","Activer les restrictions"
"TFC_BLD_ENA_TIP","Sélectionnez cette option pour activer les restrictions pour ce bâtiment. Si ce n'est pas sélectionné"," no other settings will take effect."
"TFC_BLD_SDO","Toujours servir le même district"
"TFC_BLD_SDO_TIP","Activer pour s'assurer que le bâtiment peut toujours servir le même district et/ou la même zone qu'il est dedans"," even if the district or area later changes"
"TFC_BLD_IMP","Permet les imports"
"TFC_BLD_IMP_TIP","Permet ce bâtiment à importer à partir des connexions externes."
"TFC_BLD_EXP","Permet les exports"
"TFC_BLD_EXP_TIP","Permettre à ce bâtiment d'exporter a des connexions extérieures."
"TFC_BLD_NOD","Aucun district local"
"TFC_FIR_BUI","l'Incendie des bâtiments"
"TFC_FIR_FOR","l'Incendie des forets"
"TFC_DIS_TRU","Véhicule d'intervention en cas de catastrophe"
"TFC_DIS_HEL","Hélicoptère d'intervention en cas de catastrophe"
"TFC_POL_PMO","Transfert du prisonnier vers la prison par la camionnette"
"TFC_POL_PHO","Transfert du prisonnier vers la prison par la hélicoptère"
"TFC_POL_PHI","Collection de prisonniers par hélicoptère"
"TFC_POL_PTO","Transfert du prisonnier au poste de police central"
"TFC_POL_PTI","Transfert du prisonnier au poste de police local"
"TFC_MAI_IML","Collection du post local"
"TFC_MAI_OSD","Livraison par la post local"
"TFC_MAI_OUN","Post sortant non trié"
"TFC_MAI_IST","Post entrant trié"
"TFC_MAI_IUN","Post non trié du office de post"
"TFC_MAI_OST","Post trié aux office de post"
"TFC_MAI_OGM","Post sortant"
"TFC_MAI_ICM","Post entrant"
"TFC_GAR_ICO","Collection des poubelles"
"TFC_GAR_ITF","Transfert des poubelles de la collection"
"TFC_GAR_OTF","Transfert des poubelles vers le traitement"
"TFC_GAR_ORR","Ressources récupérées à vendre"
"TFC_FIS_MKO","Livraison de poisson"
"TFC_FIS_MKI","Livraison de poisson du port"
"TFC_FIS_CFO","Poissons en conserve à vendre"
"TFC_PWR_INC","Acheter du carburant"
"TFC_OIL_INC","Fourniture de carburant"
"TFC_SHT_INC","Acheter des marchandises"
"TFC_OPT_DIS","Multiplicateur de distances"
"TFC_OPT_WAR","Boost de priorité de l'entrepôt"
"TFC_OFF_TIT","Offres ouvertes"
"TFC_OFF_LOG","Enregistrement des transferts"
"TFC_LOG_BLD","Seulement ce bâtiment"
"TFC_LOG_ALW","Autorisé"
"TFC_LOG_BLK","Bloqué"
"TFC_LOG_INC","Entrant"
"TFC_LOG_OUT","Sortants"
"TRN_CHOICE","Définir la langue"
"TRN_SYS","Utiliser la langue du jeu"
"TFC_ERR_FAT","Cela signifie que le mod n'est pas en mesure de fonctionner"," and has shut down."
"TFC_ERR_HAR","Contrôleur des Transferts n'a pas été en mesure d'effectuer les correctifs du mod -librairie- 'Harmony' requis."
"MES_CLS","Fermer"
"ERR_HAR0","Erreur de patching d'Harmony"
"ERR_HAR1","Les causes possibles de ce problème comprennent :"
"ERR_HAR2","La dépendance requise du mod Harmony 2 n'a pas été installée"
"ERR_HAR3","Un mod ancien et/ou cassé empêche Harmony 2 de fonctionner correctement"
"ERR_CON0","Conflit de mods détecté !"
"ERR_CON1","Les mods en conflit sont :"
"TFC_ERR_CON0","'Contrôleur des Transferts' a détecté un conflit avec au moins un autre mod."
"TFC_ERR_CON1","Ces mods doivent être retirés avant que 'Contrôleur des Transferts' ne puisse fonctionner."
