"CODE","ja"
"NAME","日本語"
"TFC_NAM","Transfer Controller"
"TFC_DESC","商品配送やサービス車両の輸送・到達範囲が制御可能です"
"TFC_DIS_ADD","Add this district to the list of supported districts"
"TFC_DIS_SUB","Remove this district from the list of supported districts"
"TFC_GEN_BUY","購入の制限"
"TFC_GEN_SEL","販売の制限"
"TFC_GEN_SER","サービスの制限"
"TFC_BLD_ENA","制限を有効化"
"TFC_BLD_ENA_TIP","選択した建物で制限を有効化します。 未選択の場合は他の設定は有効化されません。"
"TFC_BLD_SDO","常に同じ地区でサービスを提供"
"TFC_BLD_SDO_TIP","後から地区やエリアが変更されても、建物は常に同じ地区とエリアにサービスを提供します。"
"TFC_BLD_IMP","輸入を許可"
"TFC_BLD_IMP_TIP","この建物へ都市外から輸入することを許可します。"
"TFC_BLD_EXP","輸出を許可"
"TFC_BLD_EXP_TIP","この建物から都市外へ輸出することを許可します。"
"TFC_BLD_NOD","地区がありません"
"TFC_FIR_BUI","建物火災の消火活動"
"TFC_FIR_FOR","森林火災の消火活動"
"TFC_DIS_TRU","災害救援車両"
"TFC_DIS_HEL","災害救助ヘリ"
"TFC_POL_PMO","護送車で囚人を刑務所に移送"
"TFC_POL_PHO","警察ヘリで囚人を刑務所に移送"
"TFC_POL_PHI","警察ヘリで囚人を収容"
"TFC_POL_PTO","警察本部へ囚人を移送"
"TFC_POL_PTI","警察署へ囚人を移送"
"TFC_MAI_IML","地区の郵便物を回収"
"TFC_MAI_OSD","地区の郵便物を配達"
"TFC_MAI_OUN","未分類の郵便物を発信"
"TFC_MAI_IST","仕分けした郵便物を受信"
"TFC_MAI_IUN","郵便局から来た未分類の郵便物"
"TFC_MAI_OST","郵便局用に仕分けした郵便物"
"TFC_MAI_OGM","発信した郵便物"
"TFC_MAI_ICM","受信した郵便物"
"TFC_GAR_ICO","ゴミの収集"
"TFC_GAR_ITF","回収したゴミの輸送"
"TFC_GAR_OTF","処理場にゴミを輸送"
"TFC_GAR_ORR","回収した資源の販売"
"TFC_FIS_MKO","魚介類の配送"
"TFC_FIS_MKI","漁港から魚介類の配送"
"TFC_FIS_CFO","魚介の缶詰を販売"
"TFC_PWR_INC","燃料の購入"
"TFC_OIL_INC","石油の供給"
"TFC_SHT_INC","商品の購入"
"TFC_WAR_RVU","ユニーク工場用のトラックを予約"
"TFC_WAR_RVU_TIP","選択すると建物内の一部のトラックが、ユニーク工場専用に指定されて輸送を行います"
"TFC_WAR_RVO","外部接続用の車両を予約"
"TFC_WAR_RVO_TIP","選択すると建物内の一部のトラックが、外部接続専用に指定されて輸送を行います (外部との輸出入)"
"TFC_WAR_RVC","予約済みの車両"
"TFC_WAR_RVC_TIP","ここで予約したい台数を設定します"
"TFC_OPT_DIS","距離の倍率"
"TFC_OPT_WAR","倉庫の優先順位を上げる"
"TFC_OFF_TIT","公開中のオファー"
"TFC_OFF_LOG","転送ログ"
"TFC_LOG_BLD","この建物のみ"
"TFC_LOG_ALW","許可済"
"TFC_LOG_BLK","ブロック中"
"TFC_LOG_INC","受信"
"TFC_LOG_OUT","発信"
"TRN_CHOICE","言語設定"
"TRN_SYS","ゲームの言語を使用"
"TFC_ERR_FAT","正常にMODが起動できないため、動作をシャットダウンしました"," and has shut down."
"TFC_ERR_HAR","Transfer Controllerは、必要なHarmony2 MODのパッチ動作を完了できません"
"MES_CLS","閉じる"
"ERR_HAR0","Harmony2 MODでエラーが発生しました"
"ERR_HAR1","エラーが起きる原因として、考えられるのは以下の通りです"
"ERR_HAR2","依存関係にある、必要なHarmony2 MODがインストールされていません"
"ERR_HAR3","古いMODや壊れたMODが、Harmony2 MODの動作を妨げています"
"ERR_CON0","MODの競合が検出されました！"
"ERR_CON1","競合するMOD:"
"TFC_ERR_CON0","Transfer Controllerは、少なくとも1つ以上のMODと競合を検出しました"
"TFC_ERR_CON1","Transfer Controllerを動作させるには、これらのMODを削除してください"
