"LANGUAGE","Nederlands"
"TFC_NAM","Transfer Controller"
"TFC_DESC","Maakt beheer van goederen overdracht en dekking van dienstverleningsvoertuigen mogelijk."
"TFC_TAB_VEH","Voertuigen"
"TFC_RES_PLD","Geef de voorkeur aan het district"
"TFC_RES_PLD_TIP","Indien hiervoor wordt gekozen, zal de voorkeur worden gegeven aan servicelocaties binnen hetzelfde district en/of parkgebied als dit gebouw"
"TFC_RES_ENA","Locatiebeperkingen inschakelen"
"TFC_RES_ENA_TIP","Indien dit wordt geselecteerd, zal de dienstverlening worden beperkt tot de hieronder vermelde districten en/of gebouwen (en eventuele toegestane externe verbindingen)."
"TFC_DIS_AVA","Beschikbare districten"
"TFC_DIS_SEL","Goedgekeurde districten"
"TFC_DIS_ADD","Voeg dit district toe aan de lijst van goedgekeurde districten"
"TFC_DIS_SUB","Dit district schrappen van de lijst van goedgekeurde districten"
"TFC_BUI_SEL","Goedgekeurde gebouwen"
"TFC_BUI_ADD","Gebruik de cursor om een gebouw te selecteren en toe te voegen aan de lijst van goedgekeurde gebouwen"
"TFC_BUI_SUB","Dit gebouw schrappen van de lijst van goedgekeurde gebouwen"
"TFC_VEH_AVA","Beschikbare voertuigen"
"TFC_VEH_SEL","Toegelaten voertuigen"
"TFC_VEH_ADD","Voeg dit voertuig toe aan de lijst van toegelaten voertuigen"
"TFC_VEH_SUB","Verwijder dit voertuig van de lijst van toegelaten voertuigen"
"TFC_VEH_ANY","Elke"
"TFC_GEN_BUY","Goederen in"
"TFC_GEN_SEL","Goederen uit"
"TFC_GEN_SER","Servicegebied"
"TFC_BLD_SDO","Bedien altijd het eigen district"
"TFC_BLD_SDO_TIP","Schakel in om ervoor te zorgen dat het gebouw altijd het eigen district en/of gebied kan bedienen"
"TFC_BLD_IMP","Importeren toestaan"
"TFC_BLD_IMP_TIP","Sta toe dat dit gebouw importeert van externe verbindingen. Dit wordt niet beïnvloed door districts- of bouwbeperkingen."
"TFC_BLD_EXP","Exporteren toestaan"
